,words,tf,idf,tfidf
218,afpphoto,3.0,9.61430435395808,28.84291306187424
219,afraid,13.0,7.534862812278244,97.95321655961718
220,africa,40.0,6.436250523610134,257.45002094440537
221,african,11.0,8.361541385462711,91.97695524008982
222,afrique,3.0,9.208839245849916,27.626517737549747
223,afterlight,19.0,7.363012555351585,139.89723855168012
224,aftermath,4.0,8.921157173398134,35.684628693592536
225,afternoon,40.0,6.356207815936598,254.24831263746393
226,afternoons,6.0,8.51569206528997,51.094152391739826
227,ag,3.0,1.6532828880747101,4.959848664224131
228,agameoftones,24.0,7.171957318588875,172.12697564613302
229,agapi,8.0,6.810943973051545,54.48755178441236
230,agapimeni,3.0,9.208839245849916,27.626517737549747
231,agapimeno,5.0,8.698013622083925,43.49006811041963
232,agapimono,14.0,7.668394204902767,107.35751886863873
233,agapisaenanpontio,3.0,9.208839245849916,27.626517737549747
234,agapw,3.0,9.208839245849916,27.626517737549747
235,agate,5.0,7.822544884730025,39.11272442365012
236,age,12.0,2.922841151341051,35.07409381609261
237,agencyarms,5.0,8.921157173398134,44.60578586699067
238,ages,5.0,6.0307854155019704,30.153927077509852
239,aggeliki,8.0,8.228009992838189,65.82407994270551
240,aggelos,5.0,7.742502177056489,38.71251088528244
241,aggelosandreatos,4.0,8.921157173398134,35.684628693592536
242,agios,4.0,8.921157173398134,35.684628693592536
243,ago,34.0,3.4626360553097624,117.72962588053193
244,agora,5.0,8.698013622083925,43.49006811041963
245,agorism,24.0,7.12939770417008,171.1055449000819
246,agree,3.0,4.6003412697691495,13.801023809307448
247,agriculture,3.0,9.208839245849916,27.626517737549747
248,agrimonta,4.0,8.921157173398134,35.684628693592536
249,agrinio,10.0,8.51569206528997,85.1569206528997
250,agrino,4.0,9.61430435395808,38.45721741583232
251,agua,3.0,10.307451534518025,30.922354603554076
252,ah,5.0,4.008502287662083,20.042511438310413
253,ahappycloud,3.0,9.208839245849916,27.626517737549747
254,ahead,14.0,7.742502177056489,108.39503047879084
255,ai,15.0,1.9171830366754548,28.757745550131823
256,aidipsos,3.0,9.208839245849916,27.626517737549747
257,aigina,3.0,9.208839245849916,27.626517737549747
258,aigio,4.0,8.921157173398134,35.684628693592536
259,aigli,3.0,9.208839245849916,27.626517737549747
260,aime,13.0,7.599401333415815,98.79221733440559
261,aimerais,3.0,9.61430435395808,28.84291306187424
262,ainda,4.0,8.921157173398134,35.684628693592536
263,air,51.0,3.6341535667503715,185.34183190426896
264,airbus,3.0,8.921157173398134,26.7634715201944
265,airbuslovers,4.0,8.921157173398134,35.684628693592536
266,aircraft,4.0,9.208839245849916,36.83535698339966
267,airmax,4.0,8.921157173398134,35.684628693592536
268,airplane,10.0,8.00486644152398,80.0486644152398
269,airplay,3.0,9.208839245849916,27.626517737549747
270,airport,17.0,7.668394204902767,130.36270148334702
271,aixan,3.0,9.61430435395808,28.84291306187424
272,aj,18.0,4.955593401041959,89.20068121875526
273,ajbinos,3.0,9.208839245849916,27.626517737549747
274,ajmpinos,3.0,9.208839245849916,27.626517737549747
275,ak,3.0,1.8472520646219082,5.541756193865725
276,aka,75.0,3.5229944718803816,264.2245853910286
277,akagraduates,3.0,9.208839245849916,27.626517737549747
278,akahistory,82.0,5.8886109267214275,482.86609599115707
279,akahistoryisblackhistory,83.0,5.8886109267214275,488.7547069178785
280,akalegacies,6.0,8.51569206528997,51.094152391739826
281,akalegacy,84.0,5.8766347356747115,493.63731779667575
282,akamegakill,22.0,7.21640908115971,158.7609997855136
283,akanthus,3.0,9.208839245849916,27.626517737549747
284,akas,165.0,5.3238449128096885,878.4344106135986
285,akasputamaninspace,78.0,5.950742707828433,464.1579312106178
286,akasthroughtheyears,81.0,5.913002379845587,478.9531927674925
287,akatsuki,176.0,5.1369675394798735,904.1062869484578
288,akatude,3.0,9.208839245849916,27.626517737549747
289,akaversary,6.0,8.698013622083925,52.18808173250355
290,akaxichapter,3.0,9.208839245849916,27.626517737549747
291,akise,3.0,10.307451534518025,30.922354603554076
292,akita,3.0,9.208839245849916,27.626517737549747
293,akoma,5.0,7.822544884730025,39.11272442365012
294,akpsi,8.0,8.228009992838189,65.82407994270551
295,akropolis,4.0,8.921157173398134,35.684628693592536
296,aksoyruzgar,59.0,6.247008523971606,368.57350291432476
297,aksoyrzgar,4.0,8.921157173398134,35.684628693592536
298,akto,3.0,7.41707977662186,22.25123932986558
299,aktocollege,6.0,9.208839245849916,55.253035475099495
300,aktör,24.0,7.12939770417008,171.1055449000819
301,akşam,8.0,8.361541385462711,66.89233108370169
302,al,16.0,1.2024716781996687,19.2395468511947
303,alabama,7.0,7.822544884730025,54.75781419311018
304,alabamastate,7.0,8.361541385462711,58.530789698238976
305,aladaglar,4.0,10.307451534518025,41.2298061380721
306,aladdin,7.0,8.698013622083925,60.886095354587475
307,alba,3.0,8.361541385462711,25.084624156388134
308,alberteinstein,3.0,9.208839245849916,27.626517737549747
309,albertpark,5.0,7.822544884730025,39.11272442365012
310,albertparkvillage,12.0,7.822544884730025,93.8705386167603
311,album,14.0,7.599401333415815,106.39161866782142
312,alcesti_m,9.0,8.110226957181807,72.99204261463626
313,alcohol,4.0,8.921157173398134,35.684628693592536
314,aldo,3.0,8.361541385462711,25.084624156388134
315,alegriamykonos,4.0,8.921157173398134,35.684628693592536
316,alemanha,3.0,10.307451534518025,30.922354603554076
317,alert,26.0,6.569781916234657,170.8143298221011
318,alex,5.0,5.606971168725609,28.034855843628044
319,alexahadji,3.0,9.208839245849916,27.626517737549747
320,alexander,6.0,7.534862812278244,45.20917687366946
321,alexanderchung,6.0,8.51569206528997,51.094152391739826
322,alexandernxg,7.0,8.361541385462711,58.530789698238976
323,alexandra,18.0,7.049354996496543,126.88838993693778
324,alexandra_m,3.0,9.208839245849916,27.626517737549747
325,alexandraki,6.0,8.51569206528997,51.094152391739826
326,alexandropoulos,5.0,7.363012555351585,36.81506277675793
327,alexandros,6.0,8.361541385462711,50.16924831277627
328,alexandros_perros,3.0,9.208839245849916,27.626517737549747
329,alexandroupoli,9.0,8.110226957181807,72.99204261463626
330,alexgkely,4.0,9.61430435395808,38.45721741583232
331,alexis_georgoulis_,3.0,9.208839245849916,27.626517737549747
332,alexkatsaiti,9.0,8.228009992838189,74.0520899355437
333,alfaromeo,21.0,7.3117192609640345,153.54610448024474
334,alice,6.0,7.599401333415815,45.59640800049489
335,aliceinfashion,8.0,8.228009992838189,65.82407994270551
336,aliceinwonderland,5.0,8.698013622083925,43.49006811041963
337,aliens,3.0,9.208839245849916,27.626517737549747
338,aliki,3.0,8.51569206528997,25.547076195869913
339,aliki_pn,3.0,9.208839245849916,27.626517737549747
340,alive,11.0,6.47881013802893,71.26691151831822
341,all_shots,24.0,7.12939770417008,171.1055449000819
342,all_sports_start_here,42.0,6.569781916234657,275.93084048185557
343,all_sunsets,7.0,8.361541385462711,58.530789698238976
344,alla,12.0,5.219855199285641,62.638262391427695
345,allaboutman,3.0,9.208839245849916,27.626517737549747
346,allblackeverything,36.0,6.723932596061915,242.06157345822893
347,alle,7.0,4.709029575519651,32.963207028637555
348,allen,5.0,6.300118349285555,31.500591746427773
349,aller,6.0,5.424649611931654,32.54789767158992
350,alles,6.0,8.361541385462711,50.16924831277627
351,alleys,3.0,9.61430435395808,28.84291306187424
352,allez,23.0,7.171957318588875,164.95501832754414
353,allgunlawsareinfringements,5.0,8.698013622083925,43.49006811041963
354,allineedismakeupbox,3.0,9.208839245849916,27.626517737549747
355,allover,10.0,6.643889888388379,66.43889888388378
356,allover_by_athina,13.0,7.742502177056489,100.65252830173435
357,alloverbyathinaoikonomakou,25.0,7.088575709649825,177.21439274124563
358,alloverjewelry,22.0,7.262929096794602,159.78444012948125
359,allow,6.0,7.534862812278244,45.20917687366946
360,allowed,5.0,8.698013622083925,43.49006811041963
361,allowing,3.0,9.208839245849916,27.626517737549747
362,allstar,6.0,7.909556261719655,47.45733757031793
363,allstarcooking,4.0,9.61430435395808,38.45721741583232
364,alltid,3.0,7.599401333415815,22.798204000247445
365,alltidredoträningochhälsa,12.0,7.822544884730025,93.8705386167603
366,allure,4.0,8.921157173398134,35.684628693592536
367,allyouneedisstyle,20.0,7.3117192609640345,146.23438521928068
368,almond,10.0,7.909556261719655,79.09556261719655
369,almonds,3.0,9.208839245849916,27.626517737549747
370,almost,31.0,6.752103473028612,209.31520766388695
371,almosteaster,5.0,8.698013622083925,43.49006811041963
372,aloha,4.0,9.208839245849916,36.83535698339966
373,alone,28.0,6.873464330032879,192.4570012409206
374,along,9.0,8.110226957181807,72.99204261463626
375,alot,4.0,7.262929096794602,29.05171638717841
376,alpaykutbaris,6.0,8.51569206528997,51.094152391739826
377,alpha,56.0,3.9172108674526753,219.36380857734983
378,alphachapter,3.0,9.208839245849916,27.626517737549747
379,alphahistoryisblackhistory,31.0,6.781091009901864,210.21382130695778
380,alphakappaalpha,248.0,4.798063197890048,1189.919673076732
381,alphakappaalphahistoryisblackhistory,3.0,9.208839245849916,27.626517737549747
382,alphakappaalphasorority,3.0,7.47423819046181,22.422714571385427
383,alphakappaalphasororityinc,14.0,7.668394204902767,107.35751886863873
384,alphaphialpha,146.0,5.365809111908721,783.4081303386732
385,alphaphiomega,9.0,8.110226957181807,72.99204261463626
386,alphas,39.0,6.1177967924916,238.5940749071724
387,alphatv,215.0,4.989331540673809,1072.706281244869
388,alphatvcyprus,3.0,9.208839245849916,27.626517737549747
389,alphaxi,5.0,8.698013622083925,43.49006811041963
390,alps,3.0,9.208839245849916,27.626517737549747
391,already,39.0,6.696533621873801,261.16481125307826
392,alright,5.0,8.698013622083925,43.49006811041963
393,als,6.0,3.0575259978000373,18.345155986800222
394,also,147.0,3.935839687286169,578.5684340310669
395,alta,5.0,6.669865374791639,33.3493268739582
396,altamura,3.0,10.307451534518025,30.922354603554076
397,alter,3.0,6.669865374791639,20.009596124374916
398,alternative,11.0,6.841715631718299,75.25887194890129
399,although,13.0,7.742502177056489,100.65252830173435
400,altitude,6.0,8.698013622083925,52.18808173250355
401,alto,5.0,7.599401333415815,37.99700666707908
402,altri,4.0,8.921157173398134,35.684628693592536
403,alumnigreeks,5.0,8.698013622083925,43.49006811041963
404,alumninphc,5.0,8.698013622083925,43.49006811041963
405,always,310.0,4.478505916907818,1388.3368342414237
406,alwayshungrygr,11.0,7.909556261719655,87.0051188789162
407,alwaysloveyou,7.0,8.361541385462711,58.530789698238976
408,alysiahelming_novelist,3.0,9.208839245849916,27.626517737549747
409,am_i_samm,17.0,7.47423819046181,127.06204923785076
410,amalfi,5.0,8.921157173398134,44.60578586699067
411,amande,5.0,8.698013622083925,43.49006811041963
412,amaryllis,4.0,8.921157173398134,35.684628693592536
413,amasya,6.0,9.61430435395808,57.68582612374848
414,amazing,497.0,4.059408660009596,2017.5261040247692
415,amazing_pictures,8.0,8.228009992838189,65.82407994270551
416,amazingday,6.0,8.51569206528997,51.094152391739826
417,amazingink,4.0,8.921157173398134,35.684628693592536
418,amazingiran,5.0,8.698013622083925,43.49006811041963
419,amazingkakashi,28.0,6.9752470243428215,195.306916681599
420,amazingly,5.0,8.698013622083925,43.49006811041963
421,amazingplace,3.0,9.208839245849916,27.626517737549747
422,amazingview,4.0,8.921157173398134,35.684628693592536
423,amazingworld,4.0,8.921157173398134,35.684628693592536
424,amazon,4.0,7.742502177056489,30.970008708225954
425,amb,7.0,4.6690968651842795,32.683678056289956
426,ambassador,55.0,5.455421270598408,300.0481698829124
427,ambassadors,4.0,8.228009992838189,32.912039971352755
428,ambatzhs,6.0,8.51569206528997,51.094152391739826
429,amber,4.0,8.51569206528997,34.06276826115988
430,ambition,3.0,9.208839245849916,27.626517737549747
431,amen,3.0,6.643889888388379,19.931669665165135
432,america,49.0,5.818815164785885,285.12194307450835
433,american,39.0,6.569781916234657,256.22149473315164
434,americaneaglegr,7.0,8.361541385462711,58.530789698238976
435,americatelevision,3.0,9.208839245849916,27.626517737549747
436,amethyst,5.0,8.698013622083925,43.49006811041963
437,amfictyonyofancientgreekcities,3.0,9.208839245849916,27.626517737549747
438,amfilochia,5.0,8.698013622083925,43.49006811041963
439,amici,4.0,8.361541385462711,33.446165541850846
440,amigo,6.0,7.822544884730025,46.93526930838015
441,amigos,7.0,8.361541385462711,58.530789698238976
442,amino,6.0,8.921157173398134,53.5269430403888
443,aminovex,5.0,9.61430435395808,48.071521769790394
444,amir,4.0,10.307451534518025,41.2298061380721
445,amitamotion,6.0,8.51569206528997,51.094152391739826
446,amiyiamitube,4.0,8.921157173398134,35.684628693592536
447,ammo,28.0,5.989963420981715,167.718975787488
448,ammoshotel,5.0,8.698013622083925,43.49006811041963
449,ammtravels,3.0,9.208839245849916,27.626517737549747
450,amo,6.0,3.4819914982627185,20.89194898957631
451,amobari,7.0,8.921157173398134,62.44810021378694
452,among,8.0,8.361541385462711,66.89233108370169
453,amor,16.0,6.457303932807966,103.31686292492746
454,amore,4.0,8.228009992838189,32.912039971352755
455,amores,4.0,8.921157173398134,35.684628693592536
456,amount,4.0,8.361541385462711,33.446165541850846
457,amounts,4.0,9.208839245849916,36.83535698339966
458,amour,8.0,6.04477165747671,48.35817325981368
459,amourette,8.0,8.228009992838189,65.82407994270551
460,ampat,15.0,7.599401333415815,113.99102000123723
461,amphictyonyofancientgreekcities,63.0,6.196577670344714,390.384393231717
462,amphitheatrically,5.0,8.698013622083925,43.49006811041963
463,amrezy,39.0,6.643889888388379,259.1117056471468
464,ams,7.0,4.93217312683386,34.525211887837024
465,amstel,7.0,8.51569206528997,59.609844457029794
466,amsterdam,54.0,6.436250523610134,347.55752827494723
467,amsterdamcity,16.0,7.534862812278244,120.5578049964519
468,amsterdamilove,22.0,7.21640908115971,158.7609997855136
469,amsterdamvibe,8.0,8.228009992838189,65.82407994270551
470,amsterdamworld,23.0,7.171957318588875,164.95501832754414
471,amv,33.0,6.003386441313856,198.11175256335724
472,amvnaruto,28.0,6.9752470243428215,195.306916681599
473,amy_yuang_ud,47.0,6.457303932807966,303.4932848419744
474,amzn,4.0,8.921157173398134,35.684628693592536
475,anadolu,4.0,6.282099843782876,25.128399375131504
476,anadoluefessk,4.0,8.921157173398134,35.684628693592536
477,anadromes,4.0,8.921157173398134,35.684628693592536
478,anahi,4.0,8.228009992838189,32.912039971352755
479,anahianadasias,4.0,8.921157173398134,35.684628693592536
480,anamesa_spot,8.0,8.228009992838189,65.82407994270551
481,anamesaconceptstore,9.0,8.110226957181807,72.99204261463626
482,anania,3.0,9.208839245849916,27.626517737549747
483,anappealtoheaven,16.0,8.00486644152398,128.07786306438368
484,anastasi,9.0,5.764156752248021,51.87741077023219
485,anastasia,8.0,6.229914090612306,49.83931272489845
486,anastasiabeverlyhills,56.0,6.3756259017937,357.0350505004472
487,anastasiabrows,39.0,6.643889888388379,259.1117056471468
488,anastazios,9.0,8.110226957181807,72.99204261463626
489,anatolia,10.0,8.110226957181807,81.10226957181807
490,anatomy,11.0,7.909556261719655,87.0051188789162
491,anatropi,4.0,8.921157173398134,35.684628693592536
492,anche,5.0,8.228009992838189,41.14004996419094
493,ancient,35.0,5.226047169533563,182.91165093367468
494,ancientgreece,10.0,8.00486644152398,80.0486644152398
495,ancientmemes,65.0,6.133064264622388,398.6491772004552
496,ancientmessini,3.0,9.208839245849916,27.626517737549747
497,ancora,3.0,9.208839245849916,27.626517737549747
498,andmore,3.0,9.208839245849916,27.626517737549747
499,andotherstories,3.0,9.208839245849916,27.626517737549747
500,andreas,3.0,7.171957318588875,21.515871955766627
501,andreasgeorgiou,20.0,7.3117192609640345,146.23438521928068
502,andrew,7.0,8.361541385462711,58.530789698238976
503,andritsos,5.0,8.698013622083925,43.49006811041963
504,androgynous,22.0,7.21640908115971,158.7609997855136
505,androgyny,5.0,9.61430435395808,48.071521769790394
506,androidography,3.0,9.208839245849916,27.626517737549747
507,andros,19.0,6.9752470243428215,132.52969346251362
508,ane,5.0,4.2695806145958874,21.347903072979438
509,anekdota,7.0,8.361541385462711,58.530789698238976
